"Cycle","Time","Iso","Sr88","Microns","Fish_id","Watershed","Year","Iso_MA","natal_iso"
466,244.184,0.709652386336797,0.438885119881777,488.368,"2017_kk_074redo","Kusko",2017,NA,0.709909233461346
467,244.708,0.711031137529587,0.435726576688158,489.416,"2017_kk_074redo","Kusko",2017,NA,0.709909233461346
468,245.232,0.708994461622425,0.441762364985439,490.464,"2017_kk_074redo","Kusko",2017,NA,0.709909233461346
469,245.756,0.708267673673113,0.446101717576762,491.512,"2017_kk_074redo","Kusko",2017,NA,0.709909233461346
470,246.28,0.70886455964797,0.449618266101182,492.56,"2017_kk_074redo","Kusko",2017,NA,0.709909233461346
471,246.804,0.707647172316616,0.449534342502706,493.608,"2017_kk_074redo","Kusko",2017,NA,0.709909233461346
472,247.328,0.711496865386189,0.45777132270367,494.656,"2017_kk_074redo","Kusko",2017,NA,0.709909233461346
473,247.852,0.707821638941813,0.457080513317999,495.704,"2017_kk_074redo","Kusko",2017,NA,0.709909233461346
474,248.376,0.712508526027939,0.449827955143939,496.752,"2017_kk_074redo","Kusko",2017,NA,0.709909233461346
475,248.9,0.711340180766257,0.45820506243795,497.8,"2017_kk_074redo","Kusko",2017,NA,0.709909233461346
476,249.424,0.706651465110924,0.453629021374614,498.848,"2017_kk_074redo","Kusko",2017,NA,0.709909233461346
477,249.948,0.709907213590363,0.451682163457966,499.896,"2017_kk_074redo","Kusko",2017,NA,0.709909233461346
478,250.472,0.712164441841325,0.447452790202478,500.944,"2017_kk_074redo","Kusko",2017,NA,0.709909233461346
479,250.996,0.709928836515871,0.448273566919576,501.992,"2017_kk_074redo","Kusko",2017,NA,0.709909233461346
480,251.52,0.708922977852845,0.449256477557671,503.04,"2017_kk_074redo","Kusko",2017,NA,0.709909233461346
481,252.044,0.70861437512829,0.453064212715286,504.088,"2017_kk_074redo","Kusko",2017,NA,0.709909233461346
482,252.568,0.70782126642164,0.457581027121044,505.136,"2017_kk_074redo","Kusko",2017,NA,0.709909233461346
483,253.092,0.71041553576212,0.461759465943776,506.184,"2017_kk_074redo","Kusko",2017,NA,0.709909233461346
484,253.616,0.710539760010364,0.45964876199543,507.232,"2017_kk_074redo","Kusko",2017,NA,0.709909233461346
485,254.14,0.70976144726426,0.459202255561831,508.28,"2017_kk_074redo","Kusko",2017,NA,0.709909233461346
486,254.664,0.710334553280325,0.461252183472155,509.328,"2017_kk_074redo","Kusko",2017,NA,0.709909233461346
487,255.188,0.713128299013401,0.459910613072804,510.376,"2017_kk_074redo","Kusko",2017,NA,0.709909233461346
488,255.712,0.708170362541534,0.451448888121538,511.424,"2017_kk_074redo","Kusko",2017,NA,0.709909233461346
489,256.236,0.70798140873213,0.448152710162785,512.472,"2017_kk_074redo","Kusko",2017,NA,0.709909233461346
490,256.76,0.710354461780652,0.450186136297167,513.52,"2017_kk_074redo","Kusko",2017,NA,0.709909233461346
491,257.284,0.710528863385174,0.45310433982835,514.568,"2017_kk_074redo","Kusko",2017,NA,0.709909233461346
492,257.808,0.710377940015037,0.452498502633427,515.616,"2017_kk_074redo","Kusko",2017,NA,0.709909233461346
493,258.332,0.712238677643374,0.45745398559895,516.664,"2017_kk_074redo","Kusko",2017,NA,0.709909233461346
494,258.856,0.708943308889192,0.462470832265282,517.712,"2017_kk_074redo","Kusko",2017,NA,0.709909233461346
495,259.38,0.71045842160383,0.4701228611665,518.76,"2017_kk_074redo","Kusko",2017,0.709898968229803,0.709909233461346
496,259.904,0.712692145453846,0.466650131894571,519.808,"2017_kk_074redo","Kusko",2017,0.70991627996233,0.709909233461346
497,260.428,0.709944894105346,0.460182850193464,520.856,"2017_kk_074redo","Kusko",2017,0.709898983351442,0.709909233461346
498,260.952,0.708351117765011,0.46014815479593,521.904,"2017_kk_074redo","Kusko",2017,0.709936379658908,0.709909233461346
499,261.476,0.707731588697208,0.451818600747381,522.952,"2017_kk_074redo","Kusko",2017,0.709927572149135,0.709909233461346
500,262,0.709237726521236,0.451909664397597,524,"2017_kk_074redo","Kusko",2017,0.709925130442682,0.709909233461346
501,262.524,0.710353585970293,0.44923034931555,525.048,"2017_kk_074redo","Kusko",2017,0.709990264582613,0.709909233461346
502,263.048,0.707533410865199,0.456829459551438,526.096,"2017_kk_074redo","Kusko",2017,0.709954283345307,0.709909233461346
503,263.572,0.708117752070107,0.464332775978074,527.144,"2017_kk_074redo","Kusko",2017,0.709991640074668,0.709909233461346
504,264.096,0.710764448479012,0.463987856669625,528.192,"2017_kk_074redo","Kusko",2017,0.70998568319538,0.709909233461346
505,264.62,0.709862913229393,0.460030081186037,529.24,"2017_kk_074redo","Kusko",2017,0.709947729948105,0.709909233461346
506,265.144,0.710765568600903,0.452181732063734,530.288,"2017_kk_074redo","Kusko",2017,0.710010309054503,0.709909233461346
